Year,Total_EV_Sales,YoY_Growth_Percent
2015,7752,
2016,49249,535.3070175438597
2017,87019,76.69191252614267
2018,129763,49.12030705937784
2019,165786,27.76060972696377
2020,123770,-25.343515133967887
2021,328854,165.69766502383453
2022,1020533,210.33011610015387
2023,1529234,49.84659976698451
2024,978943,-35.98474791954664
